time,lat,lon,alt,x,y,z
1,0.0,0.0,0.0,7.35238,-82.92939,35.528015
2,0.0,0.0,0.0,5.7105923,-83.17748,35.528015
3,0.0,0.0,0.0,9.782407,-83.36541,35.77903
4,0.0,0.0,0.0,5.906141,-83.374535,36.61663
5,0.0,0.0,0.0,6.1155033,-83.62382,36.698544
6,0.0,0.0,0.0,7.853313,-83.37371,36.365616
7,0.0,0.0,0.0,3.9451864,-83.44564,36.783096
8,0.0,0.0,0.0,7.853313,-83.32118,36.447525
9,0.0,0.0,0.0,5.906141,-83.374535,36.281063
10,0.0,0.0,0.0,4.0856166,-83.66871,36.19651
11,0.0,0.0,0.0,7.853313,-83.37371,35.863583
12,0.0,0.0,0.0,3.9451864,-83.41986,36.447525
13,0.0,0.0,0.0,5.5275397,-82.92673,36.532078
14,0.0,0.0,0.0,5.7105923,-83.2042,36.698544
15,0.0,0.0,0.0,5.906141,-83.40059,36.19651
16,0.0,0.0,0.0,5.906141,-83.40059,36.865005
17,0.0,0.0,0.0,5.355825,-82.73168,36.03005
18,0.0,0.0,0.0,3.9451864,-83.36768,36.61663
19,0.0,0.0,0.0,3.9451864,-83.44564,36.19651
20,0.0,0.0,0.0,3.8140743,-83.1961,36.19651
21,0.0,0.0,0.0,7.5946426,-83.15151,36.365616
22,0.0,0.0,0.0,7.5946426,-83.097244,36.19651
23,0.0,0.0,0.0,5.906141,-83.40059,36.61663
24,0.0,0.0,0.0,5.5275397,-82.954506,36.281063
25,0.0,0.0,0.0,4.3987055,-84.06873,35.69712
26,0.0,0.0,0.0,7.853313,-83.399666,36.19651
27,0.0,0.0,0.0,3.6913862,-82.916855,36.19651
28,0.0,0.0,0.0,5.7105923,-83.2042,36.61663
29,0.0,0.0,0.0,5.5275397,-82.92673,35.863583
30,0.0,0.0,0.0,4.3987055,-84.18376,36.1146
